a,b,c,d,e,f,g,h,i,j,k,l
1,222.988,33.1998,110.831,6,104.32,0,-4.56914,-7.42013,-4.56914,-3.83608,-8.53586
1,226.052,41.9475,93.3505,6,106.003,0,-2.96054,-4.30833,-2.96054,-1.91866,-6.7412
1,225.023,42.2837,98.4266,5,105.41,0,-4.82287,-6.92403,-4.82287,-4.05936,-11.7505
1,224.642,39.7898,104.479,5,106.448,0,-3.50161,-5.66831,-3.50161,-5.21089,-9.41698
1,223.444,37.7535,111.335,5,102.954,0,-4.90288,-6.62959,-4.90288,-3.68414,-11.397
1,223.414,41.4887,116.259,3,101.322,0,-2.79821,-2.9646,-2.79821,-2.76933,-5.54947
1,225.936,46.6922,93.1116,6,107.081,0,-3.63326,-3.2852,-3.63326,-2.06294,-5.59838
1,225.114,46.9756,98.3505,5,106.417,0,-3.53929,-7.34892,-3.53929,-4.51822,-11.0224
1,224.651,44.7311,104.363,5,105.595,0,-3.32883,-5.05309,-3.32883,-3.32478,-7.74315
1,223.694,42.5972,111.047,6,104.554,0,-4.12763,-6.74622,-4.12763,-2.14249,-10.9334
1,225.782,51.5483,93.0865,5,106.638,0,-2.90173,-4.99159,-2.90173,-0.751703,-6.21151
1,224.886,51.6707,98.2216,5,105.572,0,-4.55002,-6.08191,-4.55002,-3.83736,-8.98581
1,224.772,49.3685,104.528,5,106.814,0,-4.16816,-5.08834,-4.16816,-3.83109,-9.51681
1,223.747,46.8542,110.858,4,109.618,0,-5.03855,-4.72747,-5.03855,-4.01888,-8.83665
1,222.714,50.6502,115.266,3,106.642,0,-2.46453,-1.85486,-2.46453,-3.79657,-5.94166
1,225.208,56.2681,93.3885,5,107.391,0,-3.01695,-4.02569,-3.01695,-1.76372,-6.4235
1,225.304,56.2704,98.0505,5,107.76,0,-5.17576,-4.68353,-5.17576,-2.89391,-8.32434
1,224.985,54.4964,104.182,4,109.801,0,-4.81429,-3.47057,-4.81429,-4.92962,-6.75852
1,223.528,52.6732,110.017,5,105.662,0,-3.22738,-6.99077,-3.22738,-2.99178,-8.64612
1,223.256,55.557,115.978,4,108.174,0,-2.74985,-3.62006,-2.74985,-2.4302,-4.11514
1,226.315,62.2149,92.9075,5,106.72,0,-3.78297,-3.64758,-3.78297,-4.19152,-6.59654
1,226.176,64.3413,98.8956,4,108.785,0,-3.92232,-6.93999,-3.92232,-4.91232,-10.9525
